구분,일정 시작일,일정 종료일,일정제목,작성일
309,2014-12-23,2014-12-23,"대덕특구 입주기업을 위한 ""R&D 조세지원제도 설명회""",2014-12-16
310,2014-12-23,2014-12-23,기술이전 설명회,2014-12-16
311,2014-12-23,2014-12-23,동남권 R&D거점 인프라 부산특구 G-TBC 기능 도출을 위한 전문가 간담회 개최,2014-12-17
312,2014-12-30,2014-12-30,특구펀드 운영관리 회의,2014-12-24
313,2014-12-30,2014-12-30,연구개발특구 심의회,2014-12-24
314,2015-01-09,2015-01-09,2015 연구개발특구 신년인사회,2014-12-24
315,2015-01-13,2015-01-13,2015 대구연구개발특구 신년교류회,2014-12-24
316,2015-01-05,2015-01-05,연구개발특구 기술사업화 대상 시상식,2015-01-06
317,2015-01-21,2015-01-21,광주특구 성과공유회,2015-01-06
318,2015-01-15,2015-01-15,'15년 부산연구개발특구 신년회 및 성과공유회,2015-01-06
319,2015-01-08,2015-01-08,2015 조선해양업계 신년간담회,2015-01-09
320,2015-01-15,2015-01-15,2015년 부산연구개발특구 신년회 및 성과공유회,2015-01-13
321,2015-01-15,2015-01-15,GCRC-SOP 4차년도 성과발표 및 국제 Workshop 개최 안내,2015-01-14
322,2015-01-16,2015-01-16,GCRC-SOP 4차년도 성과발표 및 국제 Workshop 개최 안내,2015-01-14
323,2015-01-28,2015-01-28,아이디어카드교육,2015-01-21
324,2015-01-28,2015-01-28,4회 이노비즈포럼,2015-01-21
325,2015-02-04,2015-02-04,안전점검의 날 행사,2015-01-28
326,2015-02-07,2015-02-07,ICT 연구개발단지 조성 개발컨설팅 사업,2015-01-21
327,2015-02-10,2015-02-10,제47회 대덕특구 TLO 협의회 정기회의 개최,2015-02-05
328,2015-02-09,2015-02-09,2015 연구개발특구진흥재단 정규직 채용공고 마감,2015-01-26
329,2015-01-26,2015-01-26,2015 연구개발특구진흥재단 정규직 채용공고,2015-01-26
330,2015-02-03,2015-02-03,싱가포르과학기술청(ASTAR) 특구방문,2015-01-28
331,2015-01-31,2015-01-31,한국해양과학기술원 부산이전추진사무소 개소식,2015-01-30
332,2015-01-27,2015-01-27,2015년도 미래부 기초연구사업 영남권 설명회 개최,2015-02-02
333,2015-02-04,2015-02-04,"찾아가는 제도 설명회(동화엔텍, 파나시아)",2015-02-05
334,2015-02-04,2015-02-04,찾아가는 제도 설명회( (주)ENK ),2015-02-05
335,2015-02-10,2015-02-10,2015 부산 해양수산 전망대회 개최,2015-02-06
336,2015-02-27,2015-02-27,2015 부산특구 육성사업설명회,2015-02-09
337,2015-02-13,2015-02-13,선박해양플랜트연구소 심해해양공학수조 착공식,2015-02-11
338,2015-02-26,2015-02-26,‘15년 대덕특구육성사업 설명회,2015-02-11
339,2015-02-24,2015-02-24,‘15년 광주특구육성사업 설명회,2015-02-11
340,2015-02-25,2015-02-25,‘15년 대구특구육성사업 설명회,2015-02-11
341,2015-02-27,,‘15년 부산육성사업 설명회,2015-02-11
342,2015-02-25,2015-02-25,3D 프린팅 R&BD 세미나 안내,2015-02-12
343,2015-02-26,2015-02-26,제 38 회 대덕이노폴리스포럼,2015-02-23
344,2015-02-25,2015-02-25,2015 김도연 前교육과학기술부 장관 특별강연,2015-02-24
345,2015-02-26,2015-02-26,부산연구개발특구 개발을 위한 투자유치 업무협약 개최,2015-02-25
346,2015-02-25,2015-02-25,2015 플랜트 기자재 산업 설명회 참가안내,2015-02-27
347,2015-03-04,2015-03-04,안전점검의 날 행사,2015-03-02
348,2015-03-03,2015-03-03,엑셀러레이터 찾아가는 설명회,2015-03-02
349,2015-03-05,,한밭대 이노폴리스캠퍼스 투자유치체결식,2015-03-02
350,2015-03-09,2015-03-09,세계과학정상회의 발촉식,2015-03-03
351,2015-03-10,2015-03-10,KIST 유럽 설명회,2015-03-03
352,2015-03-12,2015-03-12,제2회 과학기술 ICT국제협력 유관협의회,2015-03-03
353,2015-03-12,2015-03-12,기술사업화위원회,2015-03-03
354,2015-03-04,2015-03-04,'15년 부산특구육성사업 홍보를 위한 기자간담회 개최,2015-03-05
355,2015-03-13,2015-03-13,연구개발특구진흥재단 이사장 부산특구본부 방문,2015-03-05
356,2015-03-16,2015-03-16,2015년 기업지원시책 합동 설명회,2015-03-11
357,2015-03-18,2015-03-18,특구진흥재단-전국은행연합회 업무 협약식,2015-03-11
358,2015-03-20,,2015년도 연구개발특구육성사업 서류접수 마감,2015-03-11
359,2015-03-19,2015-03-19,연구소기업 활성화 간담회,2015-03-11
360,2015-03-10,2015-03-10,찾아가는 제도 설명회(기업방문),2015-03-12
361,2015-03-16,2015-03-16,부산창조경제혁신센터 개소식,2015-03-11
362,2015-04-02,2015-04-02,연구소기업 활성화 간담회,2015-03-27
363,2015-04-02,2015-04-02,전문가 초청강연,2015-03-27
364,2015-04-07,2015-04-07,국가안전대진단 자체 점검 실시,2015-04-02
365,2015-04-06,2015-04-06,산업은행 거래 기업 CEO 대상 연구소기업 설명회,2015-04-02
366,2015-04-07,2015-04-07,이노폴리스캠퍼스 - 엑셀러레이팅 현장점검,2015-04-02
367,2015-04-14,2015-04-14,찾아가는 설명회,2015-04-13
368,2015-04-16,2015-04-16,찾아가는 설명회,2015-04-13
369,2015-04-16,2015-04-16,국가과학혁신개발재단(FONDECYT) MOU 체결,2015-04-13
370,2015-04-20,,특구진흥재단 - 페루과학기술혁신재단(FONDECYT) MOU 체결,2015-04-16
371,2015-04-23,,특구진흥재단 - 중국 상해산업 기술연구원 MOU 체결,2015-04-16
372,2015-04-23,2015-04-24,한ㆍ중 기술산업 세미나,2015-04-16
373,2015-04-22,,정책토론회 개최,2015-04-17
374,2015-04-30,2015-04-30,'15년도 과학벨트 기능지구 지원사업 사업설명회,2015-04-24
375,2015-04-29,,찾아가는 설명회,2015-04-24
376,2015-05-12,,찾아가는 설명회,2015-05-04
377,2015-05-13,,특구기업 방문,2015-05-04
378,2015-05-14,,찾아가는 설명회,2015-05-04
379,2015-05-18,,찾아가는 설명회,2015-05-14
380,2015-05-19,,카타르 과학기술단지 MOU체결,2015-05-14
381,2015-05-20,,찾아가는 설명회,2015-05-14
382,2015-05-21,,재난대응 안전한국훈련,2015-05-14
383,2015-05-22,,재난대응 안전한국훈련,2015-05-14
384,2015-05-21,,삼성중공업 현장방문,2015-05-14
385,2015-05-26,2015-05-26,대덕IP포럼,2015-05-22
386,2015-06-04,,안전점검의 날 행사,2015-05-27
387,2015-06-01,,14차 STP  교육 개회식,2015-05-27
388,2015-06-05,,해외투자유치 로드쇼,2015-05-27
389,2015-06-04,,TLO 협의회 합동 워크숍,2015-05-27
390,2015-03-27,2015-03-27,LNG 연료추진선박 포럼 개최,2015-03-19
391,2015-03-27,2015-03-27,해양플랜트엔지니어링 협동조합 개소식,2015-03-19
392,2015-03-19,2015-03-19,연구소기업 활성화를 위한 간담회 개최,2015-03-20
393,2015-04-07,2015-04-07,'15년도 부산특구본부 제1회 전문가 초청 세미나 개최,2015-04-08
394,2015-04-14,2015-04-14,조선 해양플랜트 기업 초청 투자설명회,2015-04-14
395,2015-05-02,2015-05-02,부산연구개발특구 출범 2주년,2015-04-14
396,2015-04-01,2015-04-01,부산특구(첨단복합지구) 개발계획 수립 지역자문위원회(2차) 개최,2015-04-14
397,2015-04-15,2015-04-15,2015 조선해양플랜트 수출상담회 및 컨퍼런스 개최,2015-04-14
398,2015-05-08,2015-05-08,부산특구본부 춘계체육대회 개최,2015-05-06
399,2015-05-19,2015-05-19,제1회 공공기술 발굴 및 선별을 위한 'M&S Tech Froum 개최,2015-05-19
400,2015-05-21,2015-05-21,부산특구본부 삼성중공업(주) 교류 워크숍 참석,2015-05-20
401,2015-06-05,,대전현충원 봉사활동,2015-06-05
402,2015-06-16,,제39회 대덕이노폴리스 포럼,2015-06-08
403,2015-06-18,2015-06-18,조선해양플랜트산업 동반성장 기술이전 및 사업화 지원 설명회,2015-06-17
404,2015-06-25,,안보교육 실시,2015-06-18
405,2015-06-26,,'15년 1회 G-Tedh포럼 개최,2015-06-18
406,2015-06-19,2015-06-19,재단 정보화전략계회(ISP) 수립 부산특구 인터뷰,2015-06-19
407,2015-06-30,,친환경 자동차 특화기업 성장지원 사업 진행현황 점검,2015-06-29
408,2015-07-14,2015-07-15,기술찾기포럼,2015-07-15
409,2015-07-07,,제1회 기업성장포럼,2015-06-30
410,2015-07-06,,7월 안전점검의날 안내,2015-07-06
411,2015-07-16,2015-07-16,기술찾기포럼,2015-07-15
412,2015-07-14,,M&S Tech Forum 2차 분과위원회 개최,2015-07-15
413,2015-07-24,,찾아가는 설명회,2015-07-15
414,2015-07-23,2015-07-23,조선해양기자재 업계 간담회 개최,2015-07-21
415,2015-07-30,,찾아가는 설명회,2015-07-23
416,2015-07-31,,찾아가는 설명회,2015-07-23
417,2015-08-17,2015-08-18,2015 을지연습,2015-07-30
418,2015-08-13,2015-08-13,부산산학융합지구 조성사업 유치 축하연,2015-08-13
419,2015-08-17,2015-08-17,2015 대덕 사이언스 투어 (1회차),2015-08-25
420,2015-08-19,,2015 대덕 사이언스 투어 (2회차),2015-08-25
421,2015-09-11,,2015 대덕 사이언스 투어 (3회차),2015-08-25
422,2015-09-18,,2015 대덕 사이언스 투어 (4회차),2015-08-25
423,2015-10-07,2015-10-07,2015 대덕 사이언스 투어 (5회차),2015-08-25
424,2015-08-26,,한국중견기업연합회 MOU,2015-08-26
425,2015-08-26,,반부패ㆍ청렴교육 실시,2015-08-26
426,2015-08-27,2015-08-28,창조경제혁신센터 페스티벌,2015-08-26
427,2015-08-27,2015-08-28,'15년 2회 G-Tech포럼 개최,2015-08-26
428,2015-09-01,,재단 창립기념일(10주년),2015-08-26
429,2015-09-03,,사이언스 나눔 강연,2015-08-26
430,2015-09-02,,'15년 M&S Tech Forum 3차 분과위원회 개최,2015-08-26
431,2015-09-17,,사이언스 나눔강연,2015-08-26
432,2015-09-09,2015-09-12,2015년 지역희망박람회,2015-09-04
433,2015-09-09,,2015년 기술찾기포럼 제 7회 IT분과위원회 개최,2015-09-04
434,2015-09-11,,2015년 기술찾기포럼 제3회  융합분과위원회 개최,2015-09-04
435,2015-10-06,,사이언스 나눔강연,2015-09-04
436,2015-10-22,,사이언스 나눔강연,2015-09-04
437,2015-11-10,,사이언스 나눔강연,2015-09-04
438,2015-11-26,,사이언스 나눔강연,2015-09-04
439,2015-12-16,2015-12-16,대덕특구 스타트업 1st 패밀리 데이  개최,2015-12-15
440,2015-12-22,,사이언스 나눔강연,2015-09-04
441,2015-09-22,2015-09-22,'15년도 제1회 부산특구 특화분야 세미나 개최,2015-09-07
442,2015-09-17,2015-09-17,부산특구 미음R&D허브단지 입주기관 교류회,2015-09-15
443,2015-09-14,2015-09-14,서부산발전자문위원회 회의 개최,2015-09-15
444,2015-09-23,2015-09-23,부산과학기술기획평가원(BISTEP) 개원식,2015-09-24
445,2015-10-05,2015-10-05,10월 안전점검의 날,2015-10-02
446,2015-10-07,2015-10-08,6개월 챌린지 플랫폼,2015-10-06
447,2015-10-19,2015-10-19,2015연구개발특구 기술박람회 개최,2015-10-07
448,2015-10-20,2015-10-20,2015 연구개발특구 기술박람회 개최,2015-10-07
449,2015-10-12,,기술찾기포럼 제4회 BT분과,2015-10-07
450,2015-10-12,,기술찾기포럼 제4회 융합분과,2015-10-07
451,2015-10-15,,기술찾기포럼 제9회 IT분과,2015-10-07
452,2015-10-19,2015-10-20,2015년 연구개발특구 기술 박람회,2015-10-07
453,2015-10-06,2015-10-06,2015년 M&S Tech Forum 총괄 위원회 개최,2015-10-07
454,2015-10-20,2015-10-21,기술사업화SEED포럼,2015-10-07
455,2015-10-28,2015-10-28,제2회 부산특구 특화분양 세미나 개최,2015-10-07
456,2015-10-23,2015-10-23,'15년도 제2회 부산특구 조선해양분야 세미나 개최 안내,2015-10-08
457,2015-10-14,2015-10-14,부산특구 제3호 첨단기술기업 지정[우민기술(주)],2015-10-12
458,2015-10-28,2015-10-28,기술찾기포럼 제6회 NT분과 위원회,2015-10-22
459,2015-10-28,2015-10-28,불가리아 소피아 테크파크와 MoU체결,2015-10-22
460,2015-10-30,,제3회 G-Tech포럼 개최,2015-10-22
461,2015-10-27,2015-10-28,기술사업화 SEED 포럼 3차 분과위원회,2015-10-22
462,2015-11-02,,제15차 STP 교육실시,2015-10-22
463,2015-11-13,2015-11-13,제15차 STP 교육완료,2015-10-22
464,2015-11-02,2015-11-02,기술찾기포럼 제5회 융합분과 위원회,2015-10-22
465,2015-11-12,,기술찾기포럼 제5회 BT분과 위원회,2015-10-22
466,2015-11-12,,기술찾기포럼 제11회 IT분과 위원회,2015-10-22
467,2015-11-19,,기술찾기포럼 제7회 NT분과 위원회,2015-10-22
468,2015-11-19,2015-11-19,기술찾기포럼 제12회 IT분과 위원회,2015-10-22
469,2015-11-25,,기술찾기포럼 제5회 ET분과 위원회,2015-10-22
470,2015-11-03,2015-11-03,'15년도 부산특구본부 제2회 전문가 초청 세미나 개최,2015-11-02
471,2015-11-04,2015-11-04,연구소기업지원센터 및 이노 스타트업+ 개소식,2015-11-04
472,2015-11-03,2015-11-03,제3차 G-Tech 포럼 개최,2015-11-04
473,2015-11-06,2015-11-06,2015 대덕 사이언스 투어(7회차),2015-11-04
474,2015-12-09,2015-12-09,2015 대덕 사이언스 투어(8회차),2015-11-04
475,2015-11-11,2015-11-11,2차 성희롱예방교육,2015-11-04
476,2015-11-13,2015-11-13,재단 추계 체육대회,2015-11-04
477,2015-11-04,,11월 안전점검의 날,2015-11-04
478,2015-11-13,2015-11-13,연구개발특구진흥재단 추계체육대회 개최,2015-11-10
479,2015-11-17,,제 41회 대덕이노폴리스포럼 개최,2015-11-11
480,2015-11-19,,Globa-A.I.M 국내데모데이,2015-11-11
481,2015-11-17,,G-Tech 포럼 총괄 위원회,2015-11-11
482,2015-11-18,,기술찾기포럼 NT분과 개최,2015-11-11
483,2015-11-23,,제3회 기업성장포럼,2015-11-11
484,2015-11-17,2015-11-17,연구개발특구진흥재단 이사장 부산특구본부 방문,2015-11-16
485,2015-11-26,2015-11-26,부산특구- 대덕 출연(연) 기술이전교류회 개최,2015-11-16
486,2015-12-17,2015-12-17,6개월 챌린지 플랫폼 국내 공동 데모데이 개최,2015-12-02
487,2015-12-08,,기술이전설명회,2015-12-02
488,2015-12-09,2015-12-09,기술찾기포럼,2015-12-02
489,2015-11-27,2015-11-27,부산특구본부 추계 체육대회 개최,2015-12-04
490,2015-12-17,2015-12-17,'15년도 제3회 부산특구 조선해양분야 세미나 개최,2015-12-04
491,2015-12-14,2015-12-14,제3회 부산특구 미음R&D허브단지 입주기관 교류회 개최,2015-12-04
492,2015-12-08,2015-12-08,대덕 IP포럼,2015-12-07
493,2015-12-08,2015-12-08,사이언스 나눔강연,2015-12-08
494,2016-01-08,2016-01-08,2016 연구개발특구 신년인사회,2016-01-04
495,2016-01-08,2016-01-08,6개월 챌린지 플랫폼 글로벌 공동 데모데이 참가 기업 오리엔테이션,2016-01-04
496,2016-01-21,2016-01-21,6개월 챌린지 플랫폼 국외 데모데이 사전 교육,2016-01-04
497,2016-01-04,2016-01-04,1월 안전점검의 날,2016-01-05
498,2016-01-09,,2015 대덕 사이언스 투어(9회차),2016-01-11
499,2016-01-16,,2015 대덕 사이언스 투어(10회차),2016-01-11
500,2016-01-19,2016-01-19,특구별 성과평가 설명회,2016-01-19
501,2016-02-03,2016-02-03,6개월 챌린지 플랫폼 국내 데모데이,2016-02-01
502,2016-02-16,,제 53회 정기이사회 개최,2016-02-01
503,2016-02-18,,6개월 챌린지 플랫폼 국외 데모데이 사전 교육(3차),2016-02-01
504,2016-02-22,2016-02-25,6개월 챌린지 플랫폼 글로벌 데모데이(MWC 연계),2016-02-01
505,2016-02-17,2016-02-19,IASP 국제이사회 참석,2016-02-01
506,2016-02-02,,대구특구육성사업 사업공고,2016-02-01
507,2016-02-17,,대구특구 사업설명회,2016-02-01
508,2016-02-16,,부산특구 사업설명회,2016-02-01
509,2016-02-16,,대덕특구 사업설명회,2016-02-11
510,2016-02-17,,광주특구 사업설명회,2016-02-11
511,2016-02-17,,전북특구 사업설명회,2016-02-15
512,2016-02-23,,전북특구 찾아가는 설명회 개최,2016-02-18
513,2016-02-24,,첨단기술기업 제도 설명회,2016-02-18
514,2016-03-04,,’16년 상반기 기술이전 사업화 사업 접수마감,2016-03-03
515,2016-02-25,,연구소기업 발대식,2016-02-18
516,2016-02-26,,창조경제혁신센터 연계사업 설명회,2016-02-18
517,2016-02-25,,제42회 대덕이노폴리스포럼,2016-02-22
518,2016-03-16,,대덕연구개발특구본부 크라우드펀딩 설명회 개최,2016-03-15
519,2016-03-14,,"전북특구, 완주군 방문",2016-03-15
520,2016-03-04,,이노스타트업+ 운영기관 모집 접수 마감,2016-03-15
521,2016-03-04,,기술이전사업화(연구소 기업R&BD 포함) 접수,2016-03-15
522,2016-03-04,,"‘16년 기술이전사업화, 기술발굴 및 연계 접수 마감",2016-03-15
523,2016-03-17,,´16년 대덕특구 공공연구기관 간담회,2016-03-15
524,2016-03-15,,엑셀러레이팅 지원사업 접수마감,2016-03-15
525,2016-03-24,,이노이노폴리스캠퍼스    지원사업 접수마감,2016-03-15
526,2016-04-06,2016-04-06,연구소기업 200호 설립기념 행사,2016-03-30
527,2016-04-05,2016-04-05,"기술발굴 및 연계, 부산TLO협의회 협약체결",2016-03-30
528,2016-04-29,2016-04-29,이노폴리스캠퍼스 사업 접수 마감,2016-03-30
529,2016-04-16,2016-04-16,과학기술인 숲향기길 걷기 축제,2016-04-06
530,2016-04-12,2016-04-12,찾아가는 설명회,2016-04-06
531,2016-04-15,,스타트업 엑셀러레이팅 지원사업 수행기관 선정 접수 마감,2016-04-06
532,2016-03-07,2016-03-07,3월 안전점검의 날,2016-04-11
533,2016-04-05,2016-04-05,4월 안전점검의 날,2016-04-11
534,2016-04-18,,제16차 K-STP 교육실시,2016-04-14
535,2016-04-29,2016-04-29,제16차 K-STP 교육완료,2016-04-14
536,2016-04-20,2016-04-20,2015년 상반기 기술이전사업화사업 연차평가,2016-04-14
537,2016-04-21,2016-04-21,2015년 상반기 기술이전사업화사업 연차평가,2016-04-14
538,2016-04-21,2016-04-21,2015년 상반기 기술이전사업화사업 연차평가,2016-04-14
539,2016-04-27,2016-04-27,창조경제 관련 사업 통합 설명회 개최,2016-04-20
540,2016-04-28,2016-04-28,특구재단-태국 과학기술개발청-태국 과학기술혁신정책원 3자 MoU 체결,2016-04-20
541,2016-05-02,2016-05-02,PSM-AP 제2차 운영위원회 개최,2016-04-27
542,2016-05-04,2016-05-04,´16년 연구개발특구 기술박람회 사업공고,2016-04-27
543,2016-05-12,2016-05-12,광주이노비즈센터 개관식,2016-05-03
544,2016-05-12,2016-05-12,기술이전사업화사업 사업비 사용설명회,2016-05-03
545,2016-05-18,2016-05-18,기술혁신형 연구소기업 성장지원 사업 설명회,2016-05-10
546,2016-05-30,2016-05-30,G-Tech 포럼,2016-05-25
547,2016-05-31,2016-05-31,대덕특구 코스닥·코넥스시장 상장설명회 개최,2016-05-25
548,2016-06-02,2016-06-02,2016년 대덕기술사업화 포럼 개최,2016-05-25
549,2016-05-31,2016-05-31,전북특구 기술찾기포럼(X-Tech 포럼) 발족식,2016-05-25
550,2016-06-01,2016-06-01,엑셀러레이팅 사업    Kick-off,2016-05-25
551,2016-06-23,2016-06-23,제2회 전북테크포럼 개최,2016-05-25
552,2016-06-29,2016-06-29,전북특구 엑셀러레이터,2016-05-25
553,2016-06-07,,2016년 특구 통계조사 용역 공고,2016-06-01
554,2016-06-07,,화샤싱푸 및 테크코드와 업무협약(MoU) 체결,2016-06-01
555,2016-06-12,2016-06-17,Global A.I.M 중국 현지 프로그램 운영,2016-06-01
556,2016-06-15,2016-06-15,대덕특구 이노포럼 개최,2016-06-02
557,2016-06-13,2016-06-13,연구개발특구 기술박람회 대행 용역 입찰접수 마감,2016-06-08
558,2016-06-16,,"'16년 기술찾기포럼(IT, NT) 개최",2016-06-08
559,2016-06-15,2016-06-15,'16년 이노폴리스캠퍼스 사업 Kick-off,2016-06-08
560,2016-07-29,2016-07-31,창조경제 글로벌 로드쇼 참가,2016-07-04
561,2016-07-26,2016-07-26,제5회 대덕특구 이노포럼,2016-07-04
562,2016-07-22,2016-07-22,기술매칭데이 개최,2016-07-04
563,2016-07-21,2016-07-21,기술사업화 open-   table 개최,2016-07-04
564,2016-07-13,,"과학문화 확산사업(사이언스투어, 사이언스나눔강연) 공고마감",2016-07-05
565,2016-07-22,2016-07-22,과학벨트 거점지구 기업연구소 유치단회의,2016-07-05
566,2016-07-06,2016-07-06,5년 스타트업 액셀러레이팅 지원(스타트업) 최종평가,2016-07-05
567,2016-07-06,2016-07-06,광주특구 첨단기술기업 협의회,2016-07-05
568,2016-07-07,2016-07-08,그린카 전시회 참가,2016-07-05
569,2016-07-08,2016-07-08,사회공헌활동,2016-07-05
570,2016-07-21,2016-07-22,기술발굴 연계사업 수행기관 전체 워크숍,2016-07-05
571,2016-07-14,2016-07-14,기술사업화SEED포럼 2차 총괄위원회,2016-07-05
572,2016-07-04,2016-07-04,‘16년 조선해양플랜트   시뮬레이션 및 시험인증 지원사업 선정평가,2016-07-05
573,2016-07-05,2016-07-05,‘14년 이노폴리스캠퍼스    지정육성 사업 최종평가,2016-07-05
574,2016-07-19,2016-07-19,M&S Tech Forum 2차 분과위원회,2016-07-05
575,2016-07-21,2016-07-22,전북특구 TLO워크숍,2016-07-05
576,2016-07-05,2016-07-07,X-Tech포럼 3차분과위원회,2016-07-05
577,2016-07-27,,대덕특구 이노포럼 개최,2016-07-12
578,2016-08-11,2016-08-11,제13회 기술사업화위원회,2016-07-27
579,2016-08-22,2016-08-23,2016년 을지연습,2016-07-27
580,2016-08-23,2016-08-23,찾아가는 사업 설명회,2016-07-27
581,2016-08-31,2016-08-31,찾아가는 사업 설명회,2016-07-27
582,2016-08-08,2016-08-08,혁신기술커뮤니티(6차),2016-07-27
583,2016-08-24,2016-08-25,G-Tech포럼 2차 분과위원회,2016-07-27
584,2016-08-29,2016-08-29,2016년 하반기 기술이전사업화사업(연구소기업 R&BD분야),2016-07-27
585,2016-08-05,2016-08-05,테크노폴리스 지구 내 공장 처분 공고 마감,2016-07-27
586,2016-08-25,2016-08-25,제2회 부산특구 기술사업화 open-table 개최,2016-07-27
587,2016-01-29,2016-01-31,대구연구개발특구 일정,2016-01-29
588,2016-01-31,,대구연구개발특구 일정2,2016-01-29
589,2016-01-30,,대구연구개발특구 일정3,2016-01-29
590,2016-01-29,,대구연구개발특구 일정4,2016-01-29
591,2016-08-18,2016-08-18,대덕 사이언스 투어(1회차),2016-08-26
592,2016-08-19,,대덕 사이언스 투어(2회차),2016-08-26
593,2016-08-26,2016-08-26,대덕 사이언스 투어(3회차),2016-08-26
594,2016-08-29,2016-08-29,고객서비스 헌장 선포식 개최,2016-08-26
595,2016-08-30,2016-08-30,제44회 대덕이노폴리스포럼 개최,2016-08-26
596,2016-08-31,2016-08-31,홍보역량강화 교육,2016-08-26
597,2016-09-12,2016-09-12,대덕 사이언스 투어(4회차),2016-08-26
598,2016-10-11,2016-10-11,대덕 사이언스 투어(7회차),2016-10-04
599,2016-09-29,2016-09-29,대덕 사이언스 투어(5회차),2016-08-26
600,2016-08-31,2016-08-31,대덕특구 이노포럼 개최,2016-08-30
601,2016-08-04,,8월 안전점검의 날,2016-09-05
602,2016-09-05,2016-09-05,9월 안전점검의 날,2016-09-05
603,2016-10-07,2016-10-07,대덕 사이언스 투어(6회차),2016-10-04
604,2016-09-22,2016-09-22,사이언스 나눔강연(상상을 구체화하는 즐겁고 신나는 3D프린터의 세계),2016-09-20
605,2016-09-27,2016-09-27,사이언스 나눔강연(우리 국악으로 듣는 과학 소리),2016-09-20
606,2016-09-28,2016-09-28,사이언스 나눔강연(신재생 에너지에 관한 재미있는 체험교실),2016-09-20
607,2016-09-23,2016-09-23,사이언스 나눔강연(미래의 식량 혁명 귀뚜라미에서 길을 찾다),2016-09-20
608,2016-09-25,2016-09-25,사이언스 나눔강연(아빠와 함께하는 즐거운 드론 체험교실),2016-09-20
609,2016-09-29,2016-09-29,사이언스 나눔강연(뇌 과학을 통한 공부 잘하는 기분 좋은 뇌 만들기),2016-09-20
610,2016-10-07,2016-10-07,사이언스 나눔강연(세계 일주로 보는 바다 이야기 요트 세계 일주),2016-09-20
611,2016-10-04,2016-10-04,사이언스 나눔강연(초연결 사회가 가져올 변화와 혁신),2016-09-20
612,2016-10-06,2016-10-06,사이언스 나눔강연(디지털로 꿈과 미래를 말하다),2016-09-20
613,2016-09-21,2016-09-21,연구소기업 설립 지원제도 설명회,2016-09-20
614,2016-10-18,2016-10-18,제45회 대덕이노폴리스포럼 개최,2016-10-04
615,2016-10-25,2016-10-26,2016 연구개발특구 기술박람회,2016-10-07
616,2016-10-24,2016-10-25,2016 광주 창조기술거래 로드쇼,2016-10-10
617,2016-10-31,2016-10-31,특화분야 기술금융 등 성장지원사업(2차) 협약,2016-10-31
618,2016-11-17,2016-11-18,울산기술장터 기술상담회 개최,2016-10-31
619,2016-11-21,2016-11-23,‘16년 상반기 R&BD과제 중간점검,2016-10-31
620,2016-10-31,2016-10-31,공공기술기반펀드 운용사 선정평가(서류평가),2016-10-31
621,2016-11-01,2016-11-01,공공기술기반펀드 운용사 선정평가(구술심사),2016-10-31
622,2016-11-03,2016-11-03,기능지구신규사업 마련을 위한 TF,2016-10-31
623,2016-11-04,2016-11-04,과학벨트 기업연구소 유치단 회의,2016-10-31
624,2016-11-01,2016-11-04,2016년 하반기 기술이전사업화사업 협약체결,2016-10-31
625,2016-11-03,2016-11-03,2015년 하반기 기술이전사업화사업 2차년도 협약체결,2016-10-31
626,2016-12-05,2016-12-05,공공기관 유형분류 대응방안 연구용역 결과평가,2016-12-01
627,2016-12-07,2016-12-07,PSM-AP 선정평가위원회,2016-12-01
628,2016-12-07,2016-12-07,기술발굴 및 연계사업 진도점검 워크숍,2016-12-01
629,2016-12-08,2016-12-09,서남권 기술사업화 협의회 공동워크숍,2016-12-01
630,2016-12-06,2016-12-09,`16년도 기술이전사업화 사업현장컨설팅,2016-12-01
631,2016-12-05,2016-12-07,‘16년 상반기 R&BD과제 중간점검,2016-12-01
632,2016-12-06,2016-12-06,기술가치고도화 지원 최종평가,2016-12-01
633,2016-12-07,2016-12-07,조선해양플랜트 시뮬레이션 및 시험인증 신규평가,2016-12-01
634,2016-12-08,2016-12-08,‘16년 하반기 R&BD과제 착수회,2016-12-01
635,2016-12-14,2016-12-14,Global A.I.M 국내 데모데이 개최,2016-12-01
636,2016-12-14,2016-12-14,조선해양플랜트 시뮬레이션 및 시험인증 최종평가,2016-12-01
637,2016-12-21,2016-12-21,‘14년 특구기술사업화사업 및 연구소기업 전략육성사업 최종평가,2016-12-01
638,2016-12-22,2016-12-22,`14년도 기술이전사업화 사업최종평가 위원회,2016-12-01
639,2016-12-22,2016-12-22,부산특구 성과창출 및 확산촉진사업 최종평가,2016-12-01
640,2017-01-11,2017-01-20,2017년 정규직 전환채용형 청년인턴 서류접수,2017-01-09
641,2017-01-18,2017-01-18,‘17년 부산특구 육성사업 설명회,2017-01-09
642,2017-01-18,2017-01-18,제6차 입주기관 심의회,2017-01-09
643,2017-01-24,2017-01-24,부산특구 연구소기업 협의회,2017-01-09
644,2017-01-17,2017-01-17,연구소기업 후방성장지원 최종평가,2017-01-10
645,2017-01-25,2017-01-25,2017년 연구개발특구 신년인사회,2017-01-25
646,2017-02-02,2017-02-02,‘17년 대덕특구 육성사업 설명회,2017-01-26
647,2017-02-21,2017-02-21,`17년 특구육성사업(기술이전사업화 등) 접수마감,2017-01-26
648,2017-02-02,2017-02-02,‘17년 광주특구 육성사업 설명회,2017-01-26
