구분,일정 시작일,일정 종료일,일정제목,작성일
72,2013-10-17,2013-10-17,인간동력항공기 경진대회,2013-10-01
73,2013-10-31,2013-10-31,‘13년 세계인문학포럼,2013-10-01
74,2013-11-05,2013-11-05,한.중 국제 심포지엄,2013-10-01
75,2013-10-30,2013-10-30,2013년 연구개발특구 기술금융 커넥트(세미나) 행사 안내,2013-10-02
76,2013-05-22,2013-05-22,스리랑카 교역 및 투자 설명회 개최,2013-05-21
77,2013-04-16,2013-04-16,부산특구 육성사업 설명회,2013-04-17
78,2013-05-02,2013-05-02,"우수기술탐색이전,공급 전산접수 마감",2013-05-03
79,2013-05-02,2013-05-02,부산연구개발특구 출범식,2013-04-30
80,2013-10-30,2013-10-31,제3회 세계과학관 심포지엄,2013-10-07
81,2013-11-02,2013-11-02,2013 Hello! 과학마을축제 사이언스 올림픽,2013-10-07
82,2013-10-16,2013-10-19,2013 대한민국 에너지대전(Energy Korea) 개최,2013-10-08
83,2013-11-06,2013-11-06,Smarter Crop Protection Agents for Better Life 포럼,2013-10-11
84,2013-10-31,2013-10-31,[따뜻한 과학기술 토크콘서트] 개최 안내,2013-10-15
85,2013-10-30,2013-10-30,대전시립교향악단 찾아가는 음악회,2013-10-15
86,2013-10-25,2013-10-25,2013년도 소통&융합 한마당 행사,2013-10-16
87,2013-10-22,2013-10-22,제2회 국제 전통의학 임상진료지침 심포지엄,2013-10-16
88,2013-10-19,2013-10-19,우주과학 다큐멘터리상영,2013-10-17
89,2013-10-29,2013-10-29,제33회 대덕이노폴리스포럼 개최,2013-10-28
90,2013-11-02,2013-11-02,제93회 별이 있는 음악여행,2013-10-30
91,2013-11-20,2013-11-20,"[상상력포럼]크리에이티브 디렉터 박웅현, 인문학으로 과학을 만난다",2013-11-01
92,2013-11-19,2013-11-19,2013 한중 전통의학 국제심포지엄 개최,2013-11-05
93,2013-11-06,2013-11-06,SW품질향상 세미나 및 2013 Cloud 로드쇼 행사,2013-11-05
