연번,업체명,업체주소,연락처
109,노송식당,충북 제천시 내토로43길 5(화산동),
110,대동강,대구 남구 대봉로57-1 (봉덕동),
111,대장군식당,충북 충주시 수안보면 미륵송계로 105,
112,덕포식육점,부산 기장군 기장읍 차성동로154번길 2 (교리),
113,덕화상회,경북 영주시 하망동 364-68,
114,돈비어천가,인천 중구 내동 203-11,
115,매향상사,경기 수원시 팔달구 수원천로 313(남수동),
116,원주복추어탕,강원 원주시 치악로 1748(개운동),
117,산호식당,대구 중구 동인동1가 298-9,
118,삼미족발,충북 청주시 청원구 향군로35(우암동 347-3),
119,상남슈퍼마켓,강원 인제군 상남면 상남리,
120,시골집,강원 원주시 중평길 10-1(중앙동),
121,신촌매운탕,전북 남원시 원천로 27-8(신촌동),
122,쌍용반점,전북 군산시 내항2길 121(금동),
123,에펠제화,전남 장흥군 장흥읍 건산리 720-123,
124,운정식당,전북 군산시 중정길 8-2(개복동),
125,은정갈비,충남 아산시 온궁로 5,
126,이천용인닭발본점(이천용닭),경기 이천시 중리천로21번길 10-11 ,
127,일미해장국,충북 옥천군 옥천읍 금장로 105,
128,전동집,"인천 연수구 앵고개로 103번길 25, 2층(동춘동)",
129,전주식당,전남 함평군 함평읍 신기산길 22,
130,정화네하우스,대구 북구 칠성남로 216 (칠성동1가),
131,진미옥설농탕,"서울 송파구 가락로16길 3-12, 1층 107호(석촌동, 성창빌딩)",
132,금정산성 창녕집,부산 금정구 금성동 876,
133,한우건축자재,"충북 청주시 상당구 남사로 84번길 29, 1층(남주동)",
134,호남종묘사,전남 강진군 마량면 마량리 987-71번지,
135,강전사,광주 서구 천변좌로 302-1,
136,거구장갈비,경남 통영시 동충2길 22-3(항남동),
137,경복궁식당,경북 김천시 대항면 황학동길 11-8,
138,광명반점,대구 북구 칠성로 70-1,
139,금강식당,충북 단양군 영춘면 구인사로 1072,
140,남창문구사,인천 부평구 부평대로32번길 13,
141,대구갈비,경북 경주시 북정로 5,
142,대동할매국수,경남 김해시 대동면 동남로45번길 8,
143,대원상회전통간고등어,경북 안동시 옥야동 334-3,
144,대일정,전북 정읍시 태인면 대성리 483-5,
145,대호정,서울 금천구 시행대로 52길 51(시흥동),
146,대흥상회,강원 평창군 봉평면 동이장터길 14-1,
147,동원가든,충북 제천시 봉양읍 제원로10길 55,
148,리정식당,충북 청주시 청원구 우암로 71-1(내덕동),
149,만물수산,"경북 영천시 시장로 73, 제 4지구 111, 116호",
150,물망초식당,전남 여수시 충무동 485-3,
151,미락복집,"경기 성남시 분당구 구미로9번길 25, 108호",
152,발안건재,경기 화성시 향남읍 배터길 26-4,
153,보문각,강원 춘천시 약사고개길 42(약사동),
154,복화루,"인천 부평구 부평대로32번길 16, 1층 A호 101호",
155,봉암식당,경기 안양시 만안구 예술공원로 245번길 15,
156,부창식육점,부산 사하구 하단동 487-6,
157,삼보식육점,"충남 서산시 동문동 900 서산동부재래시장 1층 8, 23호 B동",
158,서울식당,충북 괴산군 괴산읍 읍내로 283-1,
159,성천막국수,"서울 동대무 답십리로 48나길 2, 1층(답십리동)",
160,아이러브뮤직,부산 중구 구덕로 66-1(남포동5가),
161,아이클럽,부산 중구 중구로48번길 8(신창동4가),
162,용방앗간,인천 부평구 부평대로 40번길 3,
163,월성,경북 포항시 남구 오천읍 철강로 663,
164,유락식당,전북 군산시 해망로 146-25,
165,이화회집,경기 화성시 우정읍 이화5리 매화길 2,
166,조선옥갈비,강원 태백시 시장북2길 5-1,
167,참깨국수,대구 수성구 무학로31길 55 1층,
168,청림건재사,경북 포항시 남구 동해안로 5986,
169,축산본점식육식당,경북 영주시 번영로 173번길 10,
170,춘포상회,전북 익산시 인북로8길 19-2,
171,태백식육점,강원 태백시 황지동 38-217,
172,평남식당,경북 포항시 북구 죽도시장3길 9-10,
173,하동복집,"경남 진주시 중앙시장길 29-5(대안동, 171,172 중앙시장 3구 98,99,100)",
174,한국의상 현필원,충남 예산군 예산읍 임성로 7,
175,함흥막국수,강원 속초시 중앙로54번길 3(교동),
176,해태식당,전남 강진군 강진읍 서성안길 6,
177,햇님제과점,대구 중구 달구벌대로389길 70,
178,호동식당,경남 통영 서호 177-102,
179,화정소바,경남 의령군 의령읍 의병로 18번길 9-3,
180,황산옥,충남 논산시 강경읍 금백로 34,
181,갑오상회,경기 의정부시 의정부동160 제일상가동 14호~15호,
182,거북이안경,광주 동구 충장로 33-1(충장로 5가),
183,경방루,전북 남원시 광한북로 29(금동),
184,고궁삼계탕,울산 남구 돋질로 180(달동),
185,고려분식,경북 상주시 중앙시장길 26(남성동),
186,고려회관,"대전 중구 중앙로109번길 30, 2층",
187,고심통숯불갈비육전선지국,"경남 하동군 하동읍 시장1길 20, 1층(시장상설점포 382,383,394,385)호)",
188,고후나비,"서울 중구 남대문시장8길 16, 1층(남창동, 포키아동복 35,36호)",
189,구옹진식당,충남 서산시 번화2로 8-2,
190,굴다리식품,충남 아산시 시민로 357,
191,극동제과점,대전 중구 충무로 73,
192,금호,광주 광산구 어등대로 665번길 3(소촌동),
193,꽃담,광주 동구 금남로 193-7 1층,
194,나루터식당,충남 부여군 부여읍 구교리 7,
195,대남통닭,"경북 경주시 금성로 295, 3동 1호(성건동, 중앙시장)",
196,대문점,서울 영등포구 영증로10길 30(영등포동3가),
197,대창,"대구 북구 고성로28길(고성동2가, 51)",
198,대풍옥,인천 강화군 교동면 대룡안길 54번길 28,
199,돌고래식당,부산 부산진구 서전로10번길 31-9(부전동),
200,동아실크,광주 동구 충장로 39(충장로 5가),
201,동원건어물,강원 강릉시 금성로 21(성남동),
202,동해순대국집,강원 속초시 중앙로 129번길 35-17(금호동),
203,마라톤집,부산 부산진구 가야대로784번길 54(부전동),
204,매일회관,전북 김제시 남북로 140,
205,명랑식당,대전 동구 태전로 56-20,
206,문창그릇백화점,대전 중구 문창로10번길 32,
207,미도상사,"서울 동대문구 황물로15나길 2, 1층(답십리동)",
208,민부곤과자점,"서울 노원구 한글비석로 474, 157호(상계동, 보람상가)",
209,밀로베이커리,"경남 창원시 성산구 마디미로21번길 11, 106호(상남동, 로데오 월드상가 1층)",
210,백제가든,전북 익산시 선화로 65길 34-10,
211,별천지,대전 동구 산서로1659번길 29,
212,보은집,충남 논산시 연무읍 감바위로 30번길 6,
213,부일식당,인천 부평구 경원대로 1270 (부평동),
214,삼원일식,"서울 서대문구 통일로9안길 32, 2층(충정로2가)",
215,서울갈비식당,경북 안동시 동부동 136-3,
216,석양집,"서울 마포구 토정로35길 12(용강동, 제이동 제지하층 8호, 9호)",
217,성미당,전북 전주시 완산구 전라감영 5길 19-9,
218,송어의집,강원 평창군 평창읍 아랫상리길 19-4,
219,수덕신발,경기 의정부시 태평로73번길 20 가동48호,
220,수향,경남 통영시 항남3길 29(항남동),
221,신가네 정읍국밥 본점,전북 정읍시 수성5로 17(수성동),
222,신광주방,충북 충주시 무학4길 15,
223,신라식당,충북 보은군 보은읍 교사삼산길 40,
224,엘지슈퍼,경기 부천시 조종로 74 (원미동),
225,영광종묘농약사,경기 고양시 덕양구 삼송로205번길 30-9(삼송동),
226,용두식당,"경북 김청시 아랫장터길 1(용두동, 135-5)",
227,장모육계유통,경남 창원시 마산회원구 내서읍 광려천남로 75,
228,조명옥꽃방,전남 해남군 성내리 41-3,
229,중앙서점,"전남 순천시 연향상가 5길 7, 3층(연향동)",
230,진주당 ,부산 동래구 명륜로103번길 2(명륜동),
231,진해식당,경북 울진군 죽변면 죽변중앙로 160-25,
232,충남왕족발,충남 예산군 예산읍 사직로 25,
233,태화루,"경남 밀양시 북성로 59, 1,2층(내이동)",
234,털보아구탕,"경기 안산시 단원구 원초로 34 (원곡동, 남양상가)",
235,풍기삼계탕,경북 영주시 중앙로 130(하망동),
236,풍년식당,전남 목포시 해안로 249번길 30-1,
237,한국식당,전남 광양시 광양읍 매일시장길 48,
238,한벽집,전북 전주시 완산구 교동 2-9,
239,한일식당,전북 익산시 황등면 황등로 106,
240,현대물텀벙이,인천 동구 샛골로 140 (송림동),
241,홍능갈비,서울 도봉구 도봉로 157길 16 (도봉동),
242,화성식육식당,전남 화순군 화순읍 칠중로 151,
243,강남횟집,"울산 남구 삼산로77번길 18, 104호(달동, 강남맨션상가)",
244,고성곱창,경남 통영시 무전3길 11-9(무전동),
245,극동청과,서울 영등포구 당산동1가 85,
246,이인순 남일꼼장어,부산 영도구 절영로13번길 70(영선도 1가),
247,단골통닭,충남 공주시 산성동 182,
248,대방회집,"서울 동작구 여의대방로 134-1 (대방동, 1층)",
249,대성식당,전남 여수시 교동남1길 5-9,
250,동강오리,"서울 중랑구 용마산로115길 10 (망우동, 1층)",
251,두꺼비집,경기 안산시 단원구 원고잔로 15 (고잔동),
252,뚱보냉면,서울 중구 퇴계로 27 14(필동1가),
253,김해만두 만리향,경남 김해시 분성로335번길 4(동상동),
254,벙글벙글찜갈비,대구 중구 동덕로36길 9-12(동인동1가),
255,부일곱창,경기 부천시 계남로 304(중동),
256,부일횟집,경남 거제시 장승포로 101(장승포동),
257,산울림식당,충남 공주시 계룡면 갑사로 476-10,
258,삼원슈퍼,서울 동작구 상도로22길 37 (상도동),
259,새서울정육점,"경기 광명시 광이로13번길 11, 1층",
260,송극,광주 광산구 광산로 19번길 10(송정동),
261,신사동족발,울산 중구 번영로 546(반구동),
262,아씨주단,광주 동구 충장로 50-1(충장로4가),
263,우정식당,경남 양산시 상북면 삼계2길 33,
264,일미장어,서울 용산구 후암로 57길 35-15(동자동),
265,장원보쌈족발 유한회사,서울 강동구 구천면로 196 102호 (천호동),
266,짱구분식,"제주 제주시 연동8길 28, 9호(연동)",
267,충주상회,서울 영등포구 영등포로45길 16-1 (영등포동2가),
268,역전통닭(닭사무소),"전남 순천시 역전장길 9, 7호(덕암동, 역전시장)",
269,판문점,"경남 마산시 오동동 23-19,23-27",
270,폭포수식당,경기 안양시 만안구 석수동 850-3 ,
271,한길안경원,경남 고성군 고성읍 동외로 156,
272,할매횟집,경남 창녕군 남지읍 선창길 17,
273,함흥보쌈,부산 영도구 남항로 42(영선동2가),
274,황산냉면,서울 송파구 가락로 257(방이동),
